NPA,NXX,MBI Block,Company,OCN,Status,Rate Center,Date Assigned,Remarks
579,344,0000-9999,,,Available,,N/A,
579,345,0000-9999,,,Available,,N/A,
579,346,0000-9999,,,Available,,N/A,
579,347,0000-9999,,,Available,,N/A,
579,348,0000-9999,,,Not Available,,N/A,
579,349,0000-9999,,,Not Available,,N/A,
579,350,0000-9999,,,Not Available,,N/A,
579,351,0000-9999,,,Not Available,,N/A,
579,352,0000-9999,,,Not Available,,N/A,
579,353,0000-9999,Bell Mobility,6574,In Service,Valleyfield,Jun 12 2015 ,
579,354,0000-9999,,,Not Available,,N/A,
579,355,0000-9999,,,Not Available,,N/A,
579,356,0000-9999,,,Not Available,,N/A,
579,357,0000-9999,,,Available,,N/A,
579,358,0000-9999,,,Available,,N/A,
579,359,0000-9999,,,Available,,N/A,
579,360,0000-9999,,,Available,,N/A,
579,361,0000-9999,,,Available,,N/A,
579,362,0000-9999,,,Available,,N/A,
579,363,0000-9999,,,Available,,N/A,
579,364,0000-9999,,,Available,,N/A,
579,365,0000-9999,,,Available,,N/A,
579,366,0000-9999,,,Available,,N/A,
579,367,0000-9999,,,Not Available,,N/A,
579,368,0000-9999,,,Available,,N/A,
579,369,0000-9999,,,Available,,N/A,
579,370,0000-9999,,,Available,,N/A,
579,371,0000-9999,,,Available,,N/A,
579,372,0000-9999,,,Available,,N/A,
579,373,0000-9999,,,Available,,N/A,
579,374,0000-9999,,,Available,,N/A,
579,375,0000-9999,,,Available,,N/A,
579,376,0000-9999,,,Not Available,,N/A,
579,377,0000-9999,,,Available,,N/A,
579,378,0000-9999,,,Available,,N/A,
579,379,0000-9999,,,Available,,N/A,
579,380,0000-9999,,,Available,,N/A,
579,381,0000-9999,,,Available,,N/A,
579,382,0000-9999,,,Not Available,,N/A,
579,383,0000-9999,,,Not Available,,N/A,
579,384,0000-9999,,,Not Available,,N/A,
579,385,0000-9999,,,Not Available,,N/A,
579,386,0000-9999,,,Not Available,,N/A,
579,387,0000-9999,,,Not Available,,N/A,
579,388,0000-9999,,,Not Available,,N/A,
579,389,0000-9999,,,Not Available,,N/A,
579,390,0000-9999,,,Not Available,,N/A,
579,391,0000-9999,,,Not Available,,N/A,
579,392,0000-9999,,,Not Available,,N/A,
579,393,0000-9999,,,Not Available,,N/A,
579,394,0000-9999,,,Available,,N/A,
579,395,0000-9999,,,Not Available,,N/A,
579,396,0000-9999,,,Not Available,,N/A,
579,397,0000-9999,,,Not Available,,N/A,
579,398,0000-9999,,,Not Available,,N/A,
579,399,0000-9999,,,Not Available,,N/A,
579,400,0000-9999,,,Available,,N/A,
579,401,0000-9999,,,Available,,N/A,
579,402,0000-9999,,,Not Available,,N/A,
579,403,0000-9999,,,Not Available,,N/A,
579,404,0000-9999,,,Not Available,,N/A,
579,405,0000-9999,,,Not Available,,N/A,
579,406,0000-9999,,,Not Available,,N/A,
579,407,0000-9999,,,Not Available,,N/A,
579,408,0000-9999,,,Not Available,,N/A,
